,noFace,Face,,Left eye,,"Right eye ",,Left,Right,Up,Down,Face width:
Picture:,,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,0,327,329,288,316,360,316,0,0,0,0,162
capture_2020_04_17_11_39_49_7214,0,327,329,288,316,360,316,0,0,0,0,162
capture_2020_04_17_11_39_49_7215,0,327,329,288,316,360,316,0,0,0,0,162
capture_2020_04_17_11_39_49_7216,0,327,329,288,316,360,316,0,0,0,0,162
capture_2020_04_17_11_39_49_7217,0,327,329,288,316,360,316,0,0,0,0,162
capture_2020_04_17_11_39_49_7218,0,327,329,288,316,360,316,0,0,0,0,162
capture_2020_04_17_11_39_49_7219,0,327,329,288,316,360,316,0,0,0,0,162
capture_2020_04_17_11_39_49_7220,0,330,322,288,316,360,316,0,0,0,0,160
capture_2020_04_17_11_39_49_7221,0,330,322,288,316,360,316,0,0,0,0,160
capture_2020_04_17_11_39_49_7222,0,330,322,288,316,360,316,0,0,0,0,160
capture_2020_04_17_11_39_49_7223,0,332,320,288,316,360,316,0,0,0,0,154
capture_2020_04_17_11_39_49_7224,0,336,318,288,316,360,316,0,0,0,0,154
capture_2020_04_17_11_39_49_7225,0,336,318,288,316,360,316,0,0,0,0,154
capture_2020_04_17_11_39_49_7226,0,341,315,304,304,380,304,0,0,0,0,154
capture_2020_04_17_11_39_49_7227,0,349,314,304,304,380,304,0,0,0,0,154
capture_2020_04_17_11_39_49_7228,0,352,317,316,304,384,304,0,0,0,0,148
capture_2020_04_17_11_39_49_7229,0,354,314,320,304,392,304,0,0,0,0,152
capture_2020_04_17_11_39_49_7230,0,354,320,320,304,392,304,0,0,0,0,152
capture_2020_04_17_11_39_49_7231,0,354,320,320,304,392,304,0,0,0,0,152
capture_2020_04_17_11_39_49_7232,0,357,316,320,304,392,304,0,0,0,0,152
capture_2020_04_17_11_39_49_7233,0,357,316,320,304,392,304,0,0,0,0,152
capture_2020_04_17_11_39_49_7234,0,357,316,320,304,392,304,0,0,0,0,152
capture_2020_04_17_11_39_49_7235,0,353,321,320,304,392,304,0,0,0,0,152
capture_2020_04_17_11_39_49_7236,0,353,321,320,304,392,304,0,0,0,0,152
capture_2020_04_17_11_39_49_7237,0,353,321,320,304,392,304,0,0,0,0,152
capture_2020_04_17_11_39_49_7238,0,350,324,320,304,392,304,0,0,0,0,146
capture_2020_04_17_11_39_49_7239,0,346,323,320,304,392,304,0,0,0,0,146
capture_2020_04_17_11_39_49_7240,0,344,324,320,304,392,304,0,0,0,0,146
